AID,package name,class token,class name,method token,method name,method parameters
A0000000620101,javacard.framework,16,Util,3,arrayFillNonAtomic,(byte[];short;short;byte)
A0000000620101,javacard.framework,16,Util,4,getShort,(byte[];short)
A0000000620101,javacard.framework,16,Util,5,makeShort,(byte;byte)
A0000000620101,javacard.framework,16,Util,6,setShort,(byte[];short;short)
A0000000620102,javacard.security,0,Key,0,clearKey,()
A0000000620102,javacard.security,0,Key,1,getSize,()
A0000000620102,javacard.security,0,Key,2,getType,()
A0000000620102,javacard.security,0,Key,3,isInitialized,()
A0000000620102,javacard.security,1,DSAKey,0,getG,(byte[];short)
A0000000620102,javacard.security,1,DSAKey,1,getP,(byte[];short)
A0000000620102,javacard.security,1,DSAKey,2,getQ,(byte[];short)
A0000000620102,javacard.security,1,DSAKey,3,setG,(byte[];short;short)
A0000000620102,javacard.security,1,DSAKey,4,setP,(byte[];short;short)
A0000000620102,javacard.security,1,DSAKey,5,setQ,(byte[];short;short)
A0000000620102,javacard.security,2,PrivateKey,0,clearKey,()
A0000000620102,javacard.security,2,PrivateKey,1,getSize,()
A0000000620102,javacard.security,2,PrivateKey,2,getType,()
A0000000620102,javacard.security,2,PrivateKey,3,isInitialized,()
A0000000620102,javacard.security,3,PublicKey,0,clearKey,()
A0000000620102,javacard.security,3,PublicKey,1,getSize,()
A0000000620102,javacard.security,3,PublicKey,2,getType,()
A0000000620102,javacard.security,3,PublicKey,3,isInitialized,()
A0000000620102,javacard.security,4,SecretKey,0,clearKey,()
A0000000620102,javacard.security,4,SecretKey,1,getSize,()
A0000000620102,javacard.security,4,SecretKey,2,getType,()
A0000000620102,javacard.security,4,SecretKey,3,isInitialized,()
A0000000620102,javacard.security,5,DSAPrivateKey,0,clearKey,()
A0000000620102,javacard.security,5,DSAPrivateKey,1,getSize,()
A0000000620102,javacard.security,5,DSAPrivateKey,2,getType,()
A0000000620102,javacard.security,5,DSAPrivateKey,3,isInitialized,()
A0000000620102,javacard.security,5,DSAPrivateKey,4,getG,(byte[];short)
A0000000620102,javacard.security,5,DSAPrivateKey,5,getP,(byte[];short)
A0000000620102,javacard.security,5,DSAPrivateKey,6,getQ,(byte[];short)
A0000000620102,javacard.security,5,DSAPrivateKey,7,setG,(byte[];short;short)
A0000000620102,javacard.security,5,DSAPrivateKey,8,setP,(byte[];short;short)
A0000000620102,javacard.security,5,DSAPrivateKey,9,setQ,(byte[];short;short)
A0000000620102,javacard.security,5,DSAPrivateKey,10,getX,(byte[];short)
A0000000620102,javacard.security,5,DSAPrivateKey,11,setX,(byte[];short;short)
A0000000620102,javacard.security,6,DSAPublicKey,0,clearKey,()
A0000000620102,javacard.security,6,DSAPublicKey,1,getSize,()
A0000000620102,javacard.security,6,DSAPublicKey,2,getType,()
A0000000620102,javacard.security,6,DSAPublicKey,3,isInitialized,()
A0000000620102,javacard.security,6,DSAPublicKey,4,getG,(byte[];short)
A0000000620102,javacard.security,6,DSAPublicKey,5,getP,(byte[];short)
A0000000620102,javacard.security,6,DSAPublicKey,6,getQ,(byte[];short)
A0000000620102,javacard.security,6,DSAPublicKey,7,setG,(byte[];short;short)
A0000000620102,javacard.security,6,DSAPublicKey,8,setP,(byte[];short;short)
A0000000620102,javacard.security,6,DSAPublicKey,9,setQ,(byte[];short;short)
A0000000620102,javacard.security,6,DSAPublicKey,10,getY,(byte[];short)
A0000000620102,javacard.security,6,DSAPublicKey,11,setY,(byte[];short;short)
A0000000620102,javacard.security,7,RSAPrivateCrtKey,0,clearKey,()
