package name,class name,method name,method signature
javacardx.security.derivation,KDFCounterModeSpec,getSecret,()
javacardx.security.derivation,KDFCounterModeSpec,getAlgorithm,()
javacardx.security.derivation,KDFCounterModeSpec,nextBytes,(javacard.security.SecretKey)
javacardx.security.derivation,KDFCounterModeSpec,nextBytes,(byte[];short;short)
javacardx.security.derivation,KDFCounterModeSpec,getInputDataBeforeCounter,()
javacardx.security.derivation,KDFHmacSpec,nextBytes,(javacard.security.SecretKey)
javacardx.security.derivation,KDFHmacSpec,nextBytes,(byte[];short;short)
javacardx.security.derivation,KDFHmacSpec,getOutputLength,()
javacardx.security.derivation,KDFHmacSpec,getSecret,()
javacardx.security.derivation,KDFHmacSpec,getAlgorithm,()
javacardx.security.derivation,KDFHmacSpec,getSalt,()
javacardx.security.derivation,KDFHmacSpec,getInfo,()
javacardx.security.derivation,TLSPseudoRandomFunctionSpec,getSeed,()
javacardx.security.derivation,TLSPseudoRandomFunctionSpec,getSecret,()
javacardx.security.derivation,KDFDoublePipelineIterationModeSpec,getCounterLength,()
javacardx.security.derivation,KDFDoublePipelineIterationModeSpec,getOutputLength,()
javacardx.security.derivation,KDFDoublePipelineIterationModeSpec,getSecret,()
javacardx.security.derivation,KDFDoublePipelineIterationModeSpec,getAlgorithm,()
javacardx.security.derivation,KDFDoublePipelineIterationModeSpec,nextBytes,(javacard.security.SecretKey)
javacardx.security.derivation,KDFDoublePipelineIterationModeSpec,nextBytes,(byte[];short;short)
javacardx.security.derivation,KDFDoublePipelineIterationModeSpec,getInputData,()
javacardx.security.derivation,KDFIeee1363Spec,getSecret,()
javacardx.security.derivation,KDFIeee1363Spec,getParameters,()
javacardx.security.derivation,KDFIeee1363Spec,getAlgorithm,()
javacardx.security.derivation,KDFFeedbackModeSpec,getCounterLength,()
javacardx.security.derivation,KDFFeedbackModeSpec,getIV,()
javacardx.security.derivation,KDFFeedbackModeSpec,getOutputLength,()
javacardx.security.derivation,KDFFeedbackModeSpec,getSecret,()
javacardx.security.derivation,KDFFeedbackModeSpec,getAlgorithm,()
javacardx.security.derivation,KDFFeedbackModeSpec,nextBytes,(javacard.security.SecretKey)
javacardx.security.derivation,KDFFeedbackModeSpec,nextBytes,(byte[];short;short)
javacardx.security.derivation,KDFFeedbackModeSpec,getInputData,()
javacardx.security.derivation,KDFIcaoMrtdSpec,getCounter,()
javacardx.security.derivation,KDFIcaoMrtdSpec,getSecret,()
javacardx.security.derivation,KDFIcaoMrtdSpec,getAlgorithm,()
javacardx.external,MemoryAccess,readData,(byte[];short;byte[];short;short;short;short;short)
javacardx.external,MemoryAccess,writeData,(byte[];short;short;byte[];short;short;short;short)
javacardx.external,MemoryAccess,getMemoryAccessInstance,(byte;short[];short)
javacardx.external,Memory,getMemoryAccessInstance,(byte;short[];short)
javacardx.external,ExternalException,throwIt,(short)
javacardx.external,ExternalException,setReason,(short)
javacardx.external,ExternalException,getReason,()
javacardx.security.util,MonotonicCounter,equalsMax,()
javacardx.security.util,MonotonicCounter,compareTo,(byte[];short;short)
javacardx.security.util,MonotonicCounter,compareTo,(javacardx.security.util.MonotonicCounter)
javacardx.security.util,MonotonicCounter,getInstance,(short;byte)
javacardx.security.util,MonotonicCounter,get,(byte[];short)
javacardx.security.util,MonotonicCounter,setValue,(byte[];short;short)
javacardx.security.util,MonotonicCounter,getSize,()
javacardx.security.util,MonotonicCounter,getMemoryType,()
javacardx.security.util,MonotonicCounter,incrementBy,(short)
javacardx.biometry1toN,OwnerBioTemplateData,getBioType,()
javacardx.biometry1toN,OwnerBioTemplateData,init,(byte[];short;short)
javacardx.biometry1toN,OwnerBioTemplateData,getPublicData,(short;byte[];short;short)
javacardx.biometry1toN,OwnerBioTemplateData,isInitialized,()
javacardx.biometry1toN,OwnerBioTemplateData,clear,()
javacardx.biometry1toN,OwnerBioTemplateData,update,(byte[];short;short)
javacardx.biometry1toN,OwnerBioTemplateData,doFinal,()
javacardx.biometry1toN,BioTemplateData,getBioType,()
javacardx.biometry1toN,BioTemplateData,getPublicData,(short;byte[];short;short)
javacardx.biometry1toN,BioTemplateData,isInitialized,()
javacardx.biometry1toN,Bio1toNBuilder,buildBioTemplateData,(byte;byte[])
javacardx.biometry1toN,Bio1toNBuilder,buildBioTemplateData,(byte)
