0,CAP loaded,FF 9000
139,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{4b1cbf83}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
140,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{246e47e2}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
141,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{54cfa722}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
142,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{4f1eb3b3}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
143,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{1823cade}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
144,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{13677b9f}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
145,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{76ca38dd}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
146,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{7a61db35}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
147,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{3bb91e59}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
148,CAP loaded,SCARD_E_NOT_TRANSACTED
149,CAP loaded,SCARD_E_NOT_TRANSACTED
150,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{54701e94}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
151,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{1fce50b0}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
