AID,package name,class token,class name,class access flags,method/field,token,name,access flags,signature/type,value
A0000000620101,javacard.framework,14,TransactionException,public,method,0,<init>,public,void(short)
A0000000620101,javacard.framework,14,TransactionException,public,method,1,throwIt,static public,void(short)
A0000000620101,javacard.framework,14,TransactionException,public,method,0,equals,public,boolean(java.lang.object)
A0000000620101,javacard.framework,14,TransactionException,public,method,1,getReason,public,short()
A0000000620101,javacard.framework,14,TransactionException,public,method,2,setReason,public,void(short)
A0000000620101,javacard.framework,14,TransactionException,public,field,255,IN_PROGRESS,static public final,short,1
A0000000620101,javacard.framework,14,TransactionException,public,field,255,NOT_IN_PROGRESS,static public final,short,2
A0000000620101,javacard.framework,14,TransactionException,public,field,255,BUFFER_FULL,static public final,short,3
A0000000620101,javacard.framework,14,TransactionException,public,field,255,INTERNAL_FAILURE,static public final,short,4
A0000000620101,javacard.framework,14,TransactionException,public,field,255,ILLEGAL_USE,static public final,short,5
A0000000620101,javacard.framework,15,UserException,public,method,0,<init>,public,void()
A0000000620101,javacard.framework,15,UserException,public,method,1,<init>,public,void(short)
A0000000620101,javacard.framework,15,UserException,public,method,2,throwIt,static public,void(short)
A0000000620101,javacard.framework,15,UserException,public,method,0,equals,public,boolean(java.lang.object)
A0000000620101,javacard.framework,15,UserException,public,method,1,getReason,public,short()
A0000000620101,javacard.framework,15,UserException,public,method,2,setReason,public,void(short)
A0000000620101,javacard.framework,16,Util,public,method,1,arrayCopy,static public final,short(byte[];short;byte[];short;short)
A0000000620101,javacard.framework,16,Util,public,method,2,arrayCopyNonAtomic,static public final,short(byte[];short;byte[];short;short)
A0000000620101,javacard.framework,16,Util,public,method,3,arrayFillNonAtomic,static public final,short(byte[];short;short;byte)
A0000000620101,javacard.framework,16,Util,public,method,0,arrayCompare,static public final,byte(byte[];short;byte[];short;short)
A0000000620101,javacard.framework,16,Util,public,method,5,makeShort,static public final,short(byte;byte)
A0000000620101,javacard.framework,16,Util,public,method,4,getShort,static public final,short(byte[];short)
A0000000620101,javacard.framework,16,Util,public,method,6,setShort,static public final,short(byte[];short;short)
A0000000620101,javacard.framework,16,Util,public,method,0,equals,public,boolean(java.lang.object)
A000000062010101,javacard.framework.service,0,Service,public abstract interface,method,0,processDataIn,public abstract,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,0,Service,public abstract interface,method,1,processCommand,public abstract,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,0,Service,public abstract interface,method,2,processDataOut,public abstract,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,1,SecurityService,public abstract interface,method,0,processDataIn,public abstract,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,1,SecurityService,public abstract interface,method,1,processCommand,public abstract,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,1,SecurityService,public abstract interface,method,2,processDataOut,public abstract,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,1,SecurityService,public abstract interface,method,3,isAuthenticated,public abstract,boolean(short)
A000000062010101,javacard.framework.service,1,SecurityService,public abstract interface,method,4,isChannelSecure,public abstract,boolean(byte)
A000000062010101,javacard.framework.service,1,SecurityService,public abstract interface,method,5,isCommandSecure,public abstract,boolean(byte)
A000000062010101,javacard.framework.service,1,SecurityService,public abstract interface,field,255,PROPERTY_INPUT_CONFIDENTIALITY,static public final,byte,1
A000000062010101,javacard.framework.service,1,SecurityService,public abstract interface,field,255,PROPERTY_INPUT_INTEGRITY,static public final,byte,2
A000000062010101,javacard.framework.service,1,SecurityService,public abstract interface,field,255,PROPERTY_OUTPUT_CONFIDENTIALITY,static public final,byte,4
A000000062010101,javacard.framework.service,1,SecurityService,public abstract interface,field,255,PROPERTY_OUTPUT_INTEGRITY,static public final,byte,8
